# Lensing power spectrum, taken from the Planck PR2
# We extrapolated the multipoles 0-7 because they are set to zero
# in the original release
Cl,ell
1.2746e-18,5.4000e+02
1.2618e-18,5.4100e+02
1.2492e-18,5.4200e+02
1.2366e-18,5.4300e+02
1.2243e-18,5.4400e+02
1.2120e-18,5.4500e+02
1.1999e-18,5.4600e+02
1.1880e-18,5.4700e+02
1.1762e-18,5.4800e+02
1.1645e-18,5.4900e+02
1.1529e-18,5.5000e+02
1.1415e-18,5.5100e+02
1.1303e-18,5.5200e+02
1.1192e-18,5.5300e+02
1.1081e-18,5.5400e+02
1.0973e-18,5.5500e+02
1.0865e-18,5.5600e+02
1.0759e-18,5.5700e+02
1.0654e-18,5.5800e+02
1.0549e-18,5.5900e+02
1.0447e-18,5.6000e+02
1.0345e-18,5.6100e+02
1.0244e-18,5.6200e+02
1.0146e-18,5.6300e+02
1.0047e-18,5.6400e+02
9.9502e-19,5.6500e+02
9.8545e-19,5.6600e+02
9.7598e-19,5.6700e+02
9.6654e-19,5.6800e+02
9.5732e-19,5.6900e+02
9.4814e-19,5.7000e+02
9.3904e-19,5.7100e+02
9.3010e-19,5.7200e+02
9.2125e-19,5.7300e+02
9.1243e-19,5.7400e+02
9.0381e-19,5.7500e+02
8.9523e-19,5.7600e+02
8.8673e-19,5.7700e+02
8.7837e-19,5.7800e+02
8.7009e-19,5.7900e+02
8.6184e-19,5.8000e+02
8.5373e-19,5.8100e+02
8.4575e-19,5.8200e+02
8.3780e-19,5.8300e+02
8.2999e-19,5.8400e+02
8.2219e-19,5.8500e+02
8.1453e-19,5.8600e+02
8.0694e-19,5.8700e+02
7.9942e-19,5.8800e+02
7.9204e-19,5.8900e+02
7.8467e-19,5.9000e+02
7.7743e-19,5.9100e+02
7.7020e-19,5.9200e+02
7.6310e-19,5.9300e+02
7.5607e-19,5.9400e+02
7.4915e-19,5.9500e+02
7.4226e-19,5.9600e+02
7.3543e-19,5.9700e+02
7.2871e-19,5.9800e+02
7.2206e-19,5.9900e+02
7.1548e-19,6.0000e+02
7.0895e-19,6.0100e+02
7.0250e-19,6.0200e+02
6.9610e-19,6.0300e+02
6.8981e-19,6.0400e+02
6.8358e-19,6.0500e+02
6.7737e-19,6.0600e+02
6.7126e-19,6.0700e+02
6.6520e-19,6.0800e+02
