# Lensing power spectrum, taken from the Planck PR2
# We extrapolated the multipoles 0-7 because they are set to zero
# in the original release
Cl,Nl,ell
6.9660e-08,5.4656e-07,2.5700e+02
6.9366e-08,5.4899e-07,2.5800e+02
6.9074e-08,5.5141e-07,2.5900e+02
6.8784e-08,5.5381e-07,2.6000e+02
6.8495e-08,5.5619e-07,2.6100e+02
6.8209e-08,5.5855e-07,2.6200e+02
6.7924e-08,5.6089e-07,2.6300e+02
6.7642e-08,5.6321e-07,2.6400e+02
6.7362e-08,5.6550e-07,2.6500e+02
6.7082e-08,5.6776e-07,2.6600e+02
6.6806e-08,5.7000e-07,2.6700e+02
6.6531e-08,5.7221e-07,2.6800e+02
6.6258e-08,5.7439e-07,2.6900e+02
6.5986e-08,5.7655e-07,2.7000e+02
6.5717e-08,5.7868e-07,2.7100e+02
6.5449e-08,5.8079e-07,2.7200e+02
6.5183e-08,5.8287e-07,2.7300e+02
6.4919e-08,5.8493e-07,2.7400e+02
6.4657e-08,5.8697e-07,2.7500e+02
6.4395e-08,5.8899e-07,2.7600e+02
6.4136e-08,5.9098e-07,2.7700e+02
6.3880e-08,5.9296e-07,2.7800e+02
6.3624e-08,5.9492e-07,2.7900e+02
6.3369e-08,5.9686e-07,2.8000e+02
6.3116e-08,5.9878e-07,2.8100e+02
6.2865e-08,6.0068e-07,2.8200e+02
6.2617e-08,6.0257e-07,2.8300e+02
6.2368e-08,6.0445e-07,2.8400e+02
6.2122e-08,6.0630e-07,2.8500e+02
6.1877e-08,6.0814e-07,2.8600e+02
6.1635e-08,6.0997e-07,2.8700e+02
6.1393e-08,6.1177e-07,2.8800e+02
6.1153e-08,6.1357e-07,2.8900e+02
6.0914e-08,6.1534e-07,2.9000e+02
6.0677e-08,6.1709e-07,2.9100e+02
6.0441e-08,6.1883e-07,2.9200e+02
6.0207e-08,6.2055e-07,2.9300e+02
5.9973e-08,6.2224e-07,2.9400e+02
5.9742e-08,6.2392e-07,2.9500e+02
5.9513e-08,6.2558e-07,2.9600e+02
5.9283e-08,6.2721e-07,2.9700e+02
5.9056e-08,6.2883e-07,2.9800e+02
5.8829e-08,6.3042e-07,2.9900e+02
5.8605e-08,6.3199e-07,3.0000e+02
5.8382e-08,6.3355e-07,3.0100e+02
5.8160e-08,6.3508e-07,3.0200e+02
5.7939e-08,6.3660e-07,3.0300e+02
5.7719e-08,6.3810e-07,3.0400e+02
5.7501e-08,6.3959e-07,3.0500e+02
5.7284e-08,6.4106e-07,3.0600e+02
5.7069e-08,6.4251e-07,3.0700e+02
5.6853e-08,6.4396e-07,3.0800e+02
5.6640e-08,6.4540e-07,3.0900e+02
5.6428e-08,6.4682e-07,3.1000e+02
5.6217e-08,6.4823e-07,3.1100e+02
5.6007e-08,6.4964e-07,3.1200e+02
5.5799e-08,6.5103e-07,3.1300e+02
5.5592e-08,6.5242e-07,3.1400e+02
5.5386e-08,6.5379e-07,3.1500e+02
5.5181e-08,6.5514e-07,3.1600e+02
5.4976e-08,6.5648e-07,3.1700e+02
5.4774e-08,6.5781e-07,3.1800e+02
5.4573e-08,6.5911e-07,3.1900e+02
5.4372e-08,6.6039e-07,3.2000e+02
5.4172e-08,6.6164e-07,3.2100e+02
5.3974e-08,6.6287e-07,3.2200e+02
5.3778e-08,6.6407e-07,3.2300e+02
5.3581e-08,6.6524e-07,3.2400e+02
5.3387e-08,6.6638e-07,3.2500e+02
5.3193e-08,6.6749e-07,3.2600e+02
5.3000e-08,6.6856e-07,3.2700e+02
5.2809e-08,6.6960e-07,3.2800e+02
5.2617e-08,6.7061e-07,3.2900e+02
5.2428e-08,6.7158e-07,3.3000e+02
5.2240e-08,6.7252e-07,3.3100e+02
5.2051e-08,6.7343e-07,3.3200e+02
5.1865e-08,6.7430e-07,3.3300e+02
5.1679e-08,6.7515e-07,3.3400e+02
5.1495e-08,6.7596e-07,3.3500e+02
5.1312e-08,6.7675e-07,3.3600e+02
5.1129e-08,6.7751e-07,3.3700e+02
