# Effective beam window function
# The map is already deconvolved by the pixel window,
# so the window function here is the only correction needed.
Bl,ell
0.786923,1119
0.78658754,1120
0.7862493,1121
0.7859128,1122
0.7855746,1123
0.7852381,1124
0.7848983,1125
0.7845618,1126
0.7842208,1127
0.78387934,1128
0.78353995,1129
0.7831981,1130
0.78286135,1131
0.7825186,1132
0.78218156,1133
0.78183967,1134
0.7815034,1135
0.78115684,1136
0.78081524,1137
0.7804787,1138
0.7801453,1139
0.77980417,1140
0.7794638,1141
0.77912486,1142
0.7787904,1143
0.7784474,1144
0.77811074,1145
0.7777697,1146
0.7774335,1147
0.7770926,1148
0.77675146,1149
0.7764072,1150
0.77606,1151
0.77571666,1152
0.77536994,1153
0.77502185,1154
0.77468264,1155
0.77434236,1156
0.77400047,1157
0.77366376,1158
0.77331936,1159
0.7729656,1160
0.7726242,1161
0.7722787,1162
0.77193516,1163
0.77159554,1164
0.771247,1165
0.7709052,1166
0.77055854,1167
0.77021724,1168
0.76986796,1169
0.76951814,1170
0.76916665,1171
0.7688172,1172
0.768467,1173
0.7681204,1174
0.7677784,1175
0.7674328,1176
0.76708585,1177
0.76674277,1178
0.7664005,1179
0.76606125,1180
0.7657127,1181
0.7653692,1182
0.7650246,1183
0.7646805,1184
0.764337,1185
0.7639909,1186
0.7636434,1187
0.7632969,1188
0.7629446,1189
0.7626017,1190
0.7622526,1191
0.76190627,1192
0.76156265,1193
0.761216,1194
0.7608735,1195
0.76052445,1196
0.7601781,1197
0.75982875,1198
0.75948256,1199
0.7591349,1200
0.7587837,1201
0.75843954,1202
0.7580856,1203
0.7577406,1204
0.757394,1205
0.75704414,1206
0.7566894,1207
0.7563417,1208
0.7559907,1209
0.755642,1210
0.75529724,1211
0.75494415,1212
0.7545927,1213
0.754242,1214
0.75388855,1215
0.75354195,1216
0.75319,1217
0.7528401,1218
0.7524846,1219
0.75213253,1220
0.7517794,1221
0.75143033,1222
0.75107974,1223
0.7507318,1224
0.75038546,1225
0.7500355,1226
0.74969053,1227
0.7493381,1228
0.748994,1229
0.7486485,1230
0.7482962,1231
0.74794394,1232
0.74758273,1233
0.7472317,1234
0.74687797,1235
0.7465307,1236
0.74617225,1237
0.74581957,1238
0.7454637,1239
0.7451183,1240
0.7447648,1241
0.744411,1242
0.74405986,1243
0.7436963,1244
0.74334157,1245
0.74298704,1246
0.7426328,1247
0.7422787,1248
0.74192137,1249
0.7415631,1250
0.74120796,1251
0.7408491,1252
0.7404885,1253
0.7401302,1254
0.73977214,1255
0.7394126,1256
0.7390528,1257
0.73869526,1258
0.7383358,1259
0.7379724,1260
0.73761255,1261
0.73725486,1262
0.73689693,1263
0.73654175,1264
0.73618704,1265
0.73583055,1266
0.73547554,1267
0.7351178,1268
0.7347647,1269
0.7344012,1270
0.73404366,1271
0.7336899,1272
0.7333415,1273
0.732992,1274
0.732638,1275
0.7322859,1276
0.73193127,1277
0.7315746,1278
0.7312206,1279
0.7308671,1280
0.73050416,1281
0.7301381,1282
0.729788,1283
0.7294368,1284
0.729086,1285
0.72872984,1286
0.7283735,1287
0.72801507,1288
0.72766054,1289
0.7273127,1290
0.7269577,1291
0.7265971,1292
0.72624004,1293
0.72587967,1294
0.7255348,1295
0.72517705,1296
0.72482115,1297
0.72446626,1298
0.7241074,1299
0.72374547,1300
0.7233836,1301
0.723021,1302
0.722658,1303
0.72229487,1304
0.7219373,1305
0.7215724,1306
0.7212089,1307
0.7208479,1308
0.7204884,1309
0.7201258,1310
0.719767,1311
0.719407,1312
0.71904445,1313
0.7186862,1314
0.7183265,1315
0.7179634,1316
0.7175959,1317
0.7172321,1318
0.71687335,1319
0.7165073,1320
0.71614426,1321
0.71579045,1322
0.71543545,1323
0.71506506,1324
0.71470475,1325
0.7143427,1326
0.71397877,1327
0.7136153,1328
0.7132471,1329
0.7128842,1330
0.71251684,1331
0.7121513,1332
0.7117887,1333
0.7114213,1334
0.7110535,1335
0.7106895,1336
0.71032923,1337
0.70996076,1338
0.70959973,1339
0.70923316,1340
0.7088653,1341
0.7085003,1342
0.7081357,1343
0.7077689,1344
0.7074066,1345
0.7070327,1346
0.7066723,1347
0.70631146,1348
0.7059439,1349
0.7055714,1350
0.7052018,1351
0.7048331,1352
0.70446086,1353
0.7040987,1354
0.70373464,1355
0.70336723,1356
0.70300084,1357
0.7026354,1358
0.70227075,1359
0.70190775,1360
0.70154303,1361
0.70118195,1362
0.7008195,1363
0.70045435,1364
0.70008695,1365
0.69972146,1366
0.6993559,1367
0.6989937,1368
0.69863486,1369
0.6982675,1370
0.6979032,1371
0.69754666,1372
0.6971765,1373
0.69681,1374
0.6964501,1375
0.69608134,1376
0.69571793,1377
0.6953487,1378
0.69498175,1379
0.694615,1380
0.69424975,1381
0.6938789,1382
0.69351417,1383
0.69314635,1384
0.6927782,1385
0.692415,1386
0.6920485,1387
0.691682,1388
0.6913155,1389
0.69095063,1390
0.6905902,1391
0.69022626,1392
0.6898584,1393
0.6894907,1394
0.6891307,1395
0.68876475,1396
0.68840086,1397
0.68803275,1398
0.68766034,1399
0.687293,1400
0.68692344,1401
0.6865599,1402
0.68619233,1403
0.6858293,1404
0.6854576,1405
0.68509096,1406
0.68472034,1407
0.6843577,1408
0.68399566,1409
0.68362415,1410
0.6832557,1411
0.68288845,1412
0.6825178,1413
0.6821476,1414
0.68177724,1415
0.6814072,1416
0.68103844,1417
0.68067354,1418
0.68030614,1419
