# CIBxCMB lensing power spectra
# Lensing potential phi is used (not kappa)
# Columns are ell and Cl (not l^3*Cl)
# Units are Jy
Cl,ell
3.337092167229649e-07,359
3.576520650799418e-07,360
3.735102046771638e-07,361
3.756828503440315e-07,362
3.6524131879096844e-07,363
3.491754705750575e-07,364
3.363182320955573e-07,365
3.328013393722251e-07,366
3.394229757994974e-07,367
3.514887063306236e-07,368
3.608326305564077e-07,369
3.597018443183137e-07,370
3.4524605796058416e-07,371
3.217209056143019e-07,372
2.979234764777504e-07,373
2.81081104193268e-07,374
2.7219455371327417e-07,375
2.6705586937924614e-07,376
2.61731036460679e-07,377
2.567596810451538e-07,378
2.5581057261868866e-07,379
2.6057874405049234e-07,380
2.676563260110745e-07,381
2.7071453075516094e-07,382
2.655689209461842e-07,383
2.5305962384312095e-07,384
2.376241625641324e-07,385
2.2399582732554165e-07,386
2.1541583694722103e-07,387
2.137861023202915e-07,388
2.196362086872599e-07,389
2.3083584009342135e-07,390
2.4185934003088537e-07,391
2.4591361843019004e-07,392
2.3927363377015295e-07,393
2.2417950425231355e-07,394
2.0740041209184834e-07,395
1.9553861439418022e-07,396
1.9110054251752516e-07,397
1.9226653193030037e-07,398
1.9561409368510914e-07,399
1.9877311853387347e-07,400
2.0103442080601446e-07,401
2.024378879529779e-07,402
2.029245954897882e-07,403
2.0220208976585416e-07,404
1.998830745089906e-07,405
1.956084955921516e-07,406
1.8949739142486027e-07,407
1.8295615833792954e-07,408
1.7887549306240492e-07,409
1.8024300907164857e-07,410
1.8782285346238525e-07,411
1.9905307296325886e-07,412
2.0957235563514592e-07,413
2.1620862748872136e-07,414
2.186538465299408e-07,415
2.183680073450504e-07,416
2.1613991089445366e-07,417
2.1099971914721084e-07,418
2.0152629204582327e-07,419
1.88010825473155e-07,420
1.732293492905023e-07,421
1.6116847593148029e-07,422
1.5490241616914e-07,423
1.5513029454767104e-07,424
1.5995701991165502e-07,425
1.6573699145928984e-07,426
1.6865981703041203e-07,427
1.6657585478412576e-07,428
1.600790070613704e-07,429
